Profile	TRP+Aux																														
Altitude	Pres	Temp	Density	H2O	O3	N2O	CO	CH4	CO2	O2	NO	SO2	NO2	NH3	HNO3	OH	HF	HCl	HBr	HI	ClO	OCS	H2CO	HOCl	N2	HCN	CH3Cl	H2O2	C2H2	C2H6	PH3
km	mb	K	cm^-3	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv
75	0.026	201.8	9.34E+14	3.30E+00	1.80E-01	8.89E-04	5.69E-01	1.50E-01	330	2.09E+05	1.61E-02	2.83E-05	2.15E-04	2.27E-12	3.12E-05	1.12E-02	4.25E-04	1.80E-03	7.15E-06	3.00E-06	4.72E-05	1.98E-07	4.16E-07	6.33E-06	7.81E-05	5.62E-05	3.96E-07	1.12E-03	7.40E-10	2.66E-09	1.00E-14
80	0.011	184.8	4.31E+14	2.10E+00	3.30E-01	7.06E-04	1.55E+00	1.50E-01	328	2.09E+05	2.68E-02	1.33E-05	2.02E-04	2.04E-12	3.01E-05	1.13E-02	4.25E-04	1.80E-03	7.15E-06	3.00E-06	4.49E-05	1.95E-07	3.53E-07	5.78E-06	7.81E-05	5.50E-05	3.89E-07	2.00E-03	7.23E-10	2.56E-09	1.00E-14
85	4.40E-03	177.1	1.80E+14	1.30E+00	5.00E-01	5.72E-04	3.85E+00	1.50E-01	320	2.00E+05	7.01E-02	5.56E-06	1.92E-04	1.85E-12	2.92E-05	6.10E-03	4.25E-04	1.80E-03	7.15E-06	3.00E-06	4.30E-05	1.92E-07	3.09E-07	5.37E-06	7.81E-05	5.37E-05	3.83E-07	1.68E-03	7.07E-10	2.49E-09	1.00E-14
90	1.72E-03	177	7.04E+13	8.50E-01	5.20E-01	4.71E-04	6.59E+00	1.40E-01	310	1.90E+05	2.13E-01	2.24E-06	1.83E-04	1.71E-12	2.84E-05	1.51E-03	4.25E-04	1.80E-03	7.15E-06	3.00E-06	4.18E-05	1.89E-07	2.76E-07	5.05E-06	7.80E-05	5.25E-05	3.78E-07	4.31E-04	6.94E-10	2.43E-09	1.00E-14
95	6.88E-04	184.3	2.71E+13	5.40E-01	5.00E-01	3.93E-04	1.04E+01	1.30E-01	270	1.80E+05	7.12E-01	8.96E-07	1.76E-04	1.59E-12	2.78E-05	2.42E-04	4.25E-04	1.80E-03	7.15E-06	3.00E-06	4.03E-05	1.87E-07	2.50E-07	4.78E-06	7.79E-05	5.12E-05	3.73E-07	4.98E-05	6.81E-10	2.37E-09	1.00E-14
100	2.89E-04	190.7	1.10E+13	4.00E-01	4.00E-01	3.32E-04	1.71E+01	1.20E-01	195	1.60E+05	2.08E+00	3.58E-07	1.70E-04	1.48E-12	2.73E-05	4.47E-05	4.25E-04	1.80E-03	7.15E-06	3.00E-06	3.93E-05	1.85E-07	2.30E-07	4.56E-06	7.77E-05	5.00E-05	3.69E-07	6.76E-06	6.70E-10	2.33E-09	1.00E-14
105	1.30E-04	212	4.45E+12	3.40E-01	2.00E-01	2.84E-04	2.47E+01	1.10E-01	110	1.40E+05	4.50E+00	1.43E-07	1.64E-04	1.40E-12	2.68E-05	1.77E-05	4.25E-04	1.80E-03	7.15E-06	3.00E-06	3.83E-05	1.83E-07	2.13E-07	4.37E-06	7.74E-05	4.87E-05	3.66E-07	8.38E-07	6.59E-10	2.29E-09	1.00E-14
110	6.47E-05	241.6	1.94E+12	2.80E-01	5.00E-02	2.44E-04	3.36E+01	9.50E-02	60	1.20E+05	7.98E+00	5.73E-08	1.59E-04	1.32E-12	2.84E-05	1.19E-05	4.25E-04	1.80E-03	7.15E-06	3.00E-06	3.75E-05	1.81E-07	1.98E-07	4.21E-06	7.70E-05	4.75E-05	3.62E-07	9.56E-08	6.49E-10	2.25E-09	1.00E-14
115	3.60E-05	299.7	8.71E+11	2.40E-01	5.00E-03	2.12E-04	4.15E+01	6.00E-02	40	9.40E+04	1.00E+01	2.29E-08	1.55E-04	1.25E-12	2.60E-05	1.35E-05	4.25E-04	1.80E-03	7.15E-06	3.00E-06	3.68E-05	1.80E-07	1.86E-07	4.06E-06	7.65E-05	4.62E-05	3.59E-07	1.00E-08	6.40E-10	2.22E-09	1.00E-14
120	2.25E-05	380	4.23E+11	2.00E-01	5.00E-04	1.85E-04	5.00E+01	3.00E-02	35	7.25E+04	1.00E+01	9.17E-09	1.51E-04	1.19E-12	2.57E-05	2.20E-05	4.25E-04	1.80E-03	7.15E-06	3.00E-06	3.61E-05	1.78E-07	1.75E-07	3.93E-06	7.60E-05	4.50E-05	3.56E-07	1.00E-09	6.32E-10	2.19E-09	1.00E-14
